"area"	"name"	"title"	"intent"	"description"	"related_areas"	"jurisdictions"	"procedures"	"phases"	"client_sides"	"deliverables"	"triggers"	"exclusions"	"required_inputs"	"alternatives"	"official_sources"	"legal_cutoff"	"review_status"	"risk_level"	"path"
"Administrativo"	"administrativo-acao-anulatoria-de-ato-administrativo"	"Ação Anulatória de Ato Administrativo"	"acao anulatoria de ato administrativo"	"Gera petição inicial completa de ação anulatória de ato administrativo ilegal, com pedido de tutela de urgência para suspensão dos efeitos do ato impugnado, declaração de nulidade e, quando cabível, indenização pelos danos causados, fundamentada na teoria dos vícios do ato administrativo, na Lei 9.784/99, na CF/88 e no CPC/2015, sendo a via adequada quando o prazo do mandado de segurança (120 dias) já foi ultrapassado ou quando a prova exige dilação probatória. Use esta skill quando a solicitação envolver Ação Anulatória de Ato Administrativo."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-acao-anulatoria-de-ato-administrativo/SKILL.md"
"Administrativo"	"administrativo-acao-de-improbidade-administrativa"	"Ação de Improbidade Administrativa"	"acao de improbidade administrativa"	"Gera petição inicial completa de Ação de Improbidade Administrativa ajuizada pelo Ministério Público ou pela pessoa jurídica lesada, com enquadramento dos atos nas modalidades da Lei 8.429/1992 (enriquecimento ilícito, lesão ao erário ou violação a princípios), pedido de medidas cautelares (indisponibilidade de bens), sanções do art. 12 e reparação integral do dano, com fundamentação atualizada pela Lei 14.230/2021 que reformou a Lei 8.429/92. Use esta skill quando a solicitação envolver Ação de Improbidade Administrativa."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-acao-de-improbidade-administrativa/SKILL.md"
"Administrativo"	"administrativo-acao-popular-improbidade-lesao-ao-p-0ac76aa6"	"Ação Popular (Improbidade / Lesão ao Patrimônio Público)"	"acao popular improbidade lesao ao p 0ac76aa6"	"Gera petição inicial completa de Ação Popular para anular ato lesivo ao patrimônio público, à moralidade administrativa, ao meio ambiente ou ao patrimônio histórico e cultural, ajuizada por cidadão, com pedido de suspensão do ato, responsabilização dos agentes envolvidos e reparação do dano, fundamentada no art. 5º, LXXIII da CF/88 e na Lei 4.717/1965 (Lei da Ação Popular), com interface com a Lei 8.429/1992 (Improbidade) e Lei 14.133/2021 (Licitações). Use esta skill quando a solicitação envolver Ação Popular (Improbidade / Lesão ao Patrimônio Público)."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-acao-popular-improbidade-lesao-ao-p-0ac76aa6/SKILL.md"
"Administrativo"	"administrativo-anulacao-de-ato-administrativo"	"Anulação de Ato Administrativo"	"anulacao de ato administrativo"	"Gera uma ação judicial (ordinária ou mandado de segurança, conforme o caso) para anulação de ato administrativo ilegal, com pedido de tutela de urgência, fundamentada nos princípios da legalidade, motivação, proporcionalidade e ampla defesa, buscando o reconhecimento da nulidade do ato e a restauração da situação anterior. Use esta skill quando a solicitação envolver Anulação de Ato Administrativo."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-anulacao-de-ato-administrativo/SKILL.md"
"Administrativo"	"administrativo-defesa-em-acao-de-improbidade-administrativa"	"Defesa em Ação de Improbidade Administrativa"	"defesa em acao de improbidade administrativa"	"Gera uma contestação completa em ação de improbidade administrativa, com preliminares, análise das tipificações imputadas (arts. 9º, 10 e 11 da Lei 8.429/92), demonstração da ausência de dolo específico e fundamentação nas reformas trazidas pela Lei 14.230/2021, que tornou o dolo elemento essencial e exigiu a especificação do tipo ímprobo na petição inicial. Use esta skill quando a solicitação envolver Defesa em Ação de Improbidade Administrativa."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-defesa-em-acao-de-improbidade-administrativa/SKILL.md"
"Administrativo"	"administrativo-defesa-em-processo-administrativo-d-324bc295"	"Defesa em Processo Administrativo Disciplinar (PAD)"	"defesa em processo administrativo d 324bc295"	"Gera uma defesa completa em Processo Administrativo Disciplinar (PAD) instaurado contra servidor público federal (Lei 8.112/90) ou estadual/municipal (legislação específica), com impugnação das irregularidades do processo, análise das infrações imputadas, demonstração da ausência de culpabilidade e pedido de arquivamento ou redução da penalidade. Use esta skill quando a solicitação envolver Defesa em Processo Administrativo Disciplinar (PAD)."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-defesa-em-processo-administrativo-d-324bc295/SKILL.md"
"Administrativo"	"administrativo-impugnacao-de-edital-de-licitacao"	"Impugnação de Edital de Licitação"	"impugnacao de edital de licitacao"	"Gera uma impugnação de edital de licitação completa e fundamentada, identificando cláusulas restritivas, ilegais ou que violem os princípios constitucionais da licitação, com pedido de correção ou anulação das disposições irregulares, nos termos da Lei 14.133/2021 (Nova Lei de Licitações). Use esta skill quando a solicitação envolver Impugnação de Edital de Licitação."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-impugnacao-de-edital-de-licitacao/SKILL.md"
"Administrativo"	"administrativo-mandado-de-seguranca-contra-ato-administrativo"	"Mandado de Segurança contra Ato Administrativo"	"mandado de seguranca contra ato administrativo"	"Gera petição inicial completa de Mandado de Segurança para atacar ato administrativo ilegal ou abusivo de autoridade pública, como indeferimento de licença, cancelamento de alvará, penalidade aplicada sem devido processo, exigência ilegal como condição de ato vinculado ou omissão da autoridade em praticar ato obrigatório, fundamentado na CF/88 art. 5º LXIX, Lei 12.016/2009, Lei 9.784/99 e legislação administrativa específica. Use esta skill quando a solicitação envolver Mandado de Segurança contra Ato Administrativo."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-mandado-de-seguranca-contra-ato-administrativo/SKILL.md"
"Administrativo"	"administrativo-mandado-de-seguranca-em-concurso-publico"	"Mandado de Segurança em Concurso Público"	"mandado de seguranca em concurso publico"	"Gera um mandado de segurança em matéria de concurso público completo e fundamentado, com demonstração do direito líquido e certo do candidato, pedido liminar e requerimentos, para impugnar ato coator da banca ou da Administração que viole o edital ou os princípios constitucionais do concurso público. Use esta skill quando a solicitação envolver Mandado de Segurança em Concurso Público."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-mandado-de-seguranca-em-concurso-publico/SKILL.md"
"Administrativo"	"administrativo-pedido-de-acesso-a-informacao-lai-recurso"	"Pedido de Acesso à Informação (LAI) + Recurso"	"pedido de acesso a informacao lai recurso"	"Gera tanto o pedido inicial de acesso à informação (via e-SIC ou protocolo físico) quanto o recurso administrativo completo contra a negativa, resposta incompleta, resposta intempestiva ou omissão do órgão público, fundamentado na Lei 12.527/2011 (LAI), no Decreto 7.724/2012 e na CF/88 art. 5º XXXIII, com pedido de acesso imediato às informações solicitadas e, se necessário, encaminhamento à CGU ou ao órgão recursal competente. Use esta skill quando a solicitação envolver Pedido de Acesso à Informação (LAI) + Recurso."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-pedido-de-acesso-a-informacao-lai-recurso/SKILL.md"
"Administrativo"	"administrativo-recurso-administrativo-em-processo-licitatorio"	"Recurso Administrativo em Processo Licitatório"	"recurso administrativo em processo licitatorio"	"Gera recurso administrativo completo em processo licitatório, atacando decisões de habilitação, inabilitação, classificação, desclassificação ou julgamento de propostas, com fundamentação na Lei 14.133/2021 (Nova Lei de Licitações), Lei 8.666/93 (quando aplicável) e CF/88 art. 37, explorando vícios materiais e formais da decisão recorrida com pedido de reforma ou anulação. Use esta skill quando a solicitação envolver Recurso Administrativo em Processo Licitatório."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-recurso-administrativo-em-processo-licitatorio/SKILL.md"
"Administrativo"	"administrativo-recurso-contra-penalidade-em-contra-dabae1d7"	"Recurso contra Penalidade em Contrato Administrativo"	"recurso contra penalidade em contra dabae1d7"	"Gera recurso administrativo completo contra penalidades aplicadas pela Administração Pública em contratos administrativos — multa contratual, advertência, suspensão temporária ou declaração de inidoneidade — com impugnação da fundamentação da penalidade, arguição de vícios formais (ausência de contraditório, falta de motivação) e vícios de mérito (inexecução parcial, caso fortuito, força maior, culpa concorrente), fundamentado na Lei 14.133/2021, Lei 8.666/93, Lei 9.784/99 e CF/88. Use esta skill quando a solicitação envolver Recurso contra Penalidade em Contrato Administrativo."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-recurso-contra-penalidade-em-contra-dabae1d7/SKILL.md"
"Administrativo"	"administrativo-recurso-de-auto-de-infracao-administrativo"	"Recurso de Auto de Infração Administrativo"	"recurso de auto de infracao administrativo"	"Gera um recurso administrativo completo contra auto de infração lavrado por órgão regulador ou fiscalizatório (PROCON, ANVISA, ANATEL, Vigilância Sanitária, IBAMA, órgãos estaduais e municipais de fiscalização), com fundamentação técnica e jurídica, impugnando a multa ou penalidade aplicada e requerendo a extinção ou redução da sanção. Use esta skill quando a solicitação envolver Recurso de Auto de Infração Administrativo."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-recurso-de-auto-de-infracao-administrativo/SKILL.md"
"Administrativo"	"administrativo-recurso-licitatorio"	"Recurso Licitatório"	"recurso licitatorio"	"Gera um recurso administrativo licitatório completo, contra decisões da comissão de licitação ou pregoeiro (inabilitação, desclassificação de proposta, julgamento do certame), com fundamentação na Lei 14.133/2021, requerendo a reforma da decisão e a habilitação ou classificação do recorrente. Use esta skill quando a solicitação envolver Recurso Licitatório."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"areas do direito/Administrativo/administrativo-recurso-licitatorio/SKILL.md"
